Time,University 11kV,Corporation Street 11kV,Educational Precinct 11kV,Pilgrim 11kV,Gateshead Central 11kV,Close 11kV,Benwell 11kV,Team Valley 20kV,Birtley Grove 20kV,Dunston 11kV,Dunston 20kV,Westerhope 11kV,Blucher 11kV,Harraton Red 11kV,Blaydon Burn 11kV,West Wylam 20kV,Hexham 20kV,Riding Mill Pumps 11kV,Tanfield 11kV,Annfield T4 20kV,Annfield T3 20kV,Bensham 11kV,Kimberley Clarke North 11kV,Kimberley Clarke South 11kV,Dunston 11kV (via 20/11kV),Consett 20kV,Newcastle Airport 11kV,Newburn Haugh 11kV,Harraton Green 11kV,Birtley Grove 11kV,Great Park T1 33kV,Great Park T2 33kV,Kenton 11kV
10:00,24.19107111,11.53674134,16.04566985,19.86380304,14.08108913,24.13118856,17.59539421,31.11036549,9.310916426,15.03129433,14.82922331,10.14185937,12.47661097,18.30211785,15.38441939,18.13307452,24.66271667,8.78,12.10299469,20.30067808,20.30067808,16.41172898,16.04566985,8.78,15.03129433,18.3605518,11.56196836,6.657500033,18.30211785,12.98655047,18.33,18.33,14.47455001
10:30,24.37512796,11.58664267,16.10524095,20.07228102,14.149,24.37276357,17.5991937,31.38247448,9.331163688,15.09,14.81582163,10.1060565,12.43422174,18.35096333,15.40336585,18.1481635,24.73846311,8.78,12.09824543,20.30756422,20.30756422,16.37668501,16.10524095,8.78,15.09,18.37059188,11.54943433,6.662718278,18.35096333,12.96143878,17.96,17.96,14.44246826
11:00,24.39402013,11.56174835,16.06953246,20.1163793,14.12373722,24.66880856,17.49468173,31.4078986,9.2841605,15.03645994,14.70584925,10.0142909,12.31842257,18.25802513,15.31669692,18.04762928,24.65991617,8.78,12.01211504,20.17790066,20.17790066,16.25298782,16.06953246,8.78,15.03645994,18.2602506,11.46607606,6.623783901,18.25802513,12.84865068,17.58,17.58,14.32193209
11:30,24.424,11.58506658,16.09596509,20.138,14.14552352,24.83891311,17.52185293,31.427,9.295443599,15.0554169,14.72817359,10.03544991,12.33619863,18.28516773,15.33364908,18.07348052,24.69042964,8.78,12.02813899,20.20400217,20.20400217,16.28207973,16.09596509,8.78,15.0554169,18.28217104,11.48757149,6.632832073,18.28516773,12.86888731,17.21,17.21,14.34556127
12:00,24.29994651,11.588,16.115,19.9499607,14.13836072,24.914,17.64177252,31.20240337,9.330096368,15.06705925,14.85496863,10.16294673,12.48770099,18.3522606,15.40987634,18.18809982,24.75513294,8.78,12.12151025,20.3377727,20.3377727,16.45020133,16.115,8.78,15.06705925,18.39388448,11.59007567,6.668707811,18.3522606,13.00091514,17.4,17.4,14.49860092
12:30,23.86758634,11.41805706,15.8949816,19.53631557,13.92637203,24.78070289,17.46186429,30.59331152,9.215272608,14.85645483,14.72064916,10.09651639,12.40675714,18.12282956,15.23408468,17.99680837,24.43681333,8.51,12.00501559,20.12899391,20.12899391,16.31918481,15.8949816,8.51,14.85645483,18.19875596,11.48662395,6.593869979,18.12282956,12.89638529,17.21,17.21,14.38724009
13:00,23.63544554,11.3113766,15.72832565,19.35864671,13.78567089,24.49335934,17.26190095,30.29245585,9.111464123,14.70341046,14.55020341,9.98089955,12.25486241,17.92166296,15.05946195,17.7822758,24.15412236,8.23,11.86397078,19.89451897,19.89451897,16.12968516,15.72832565,8.23,14.70341046,17.98698829,11.35783664,6.520378284,17.92166296,12.74527751,17.21,17.21,14.21708583
13:30,23.29628365,11.14090332,15.48346284,19.08991422,13.57275327,24.29369225,16.95687446,29.83783779,8.950830453,14.45931036,14.28168896,9.794739918,12.01662765,17.60810784,14.78933682,17.46695372,23.7524583,8.23,11.64399799,19.53272339,19.53272339,15.83638346,15.48346284,8.23,14.45931036,17.66248521,11.15357117,6.404269313,17.60810784,12.50167384,16.84,16.84,13.94972355
14:00,22.98713981,11.00981414,15.31221308,18.78496935,13.4079472,24.16221968,16.777932,29.3811841,8.837800587,14.26320974,14.12528767,9.706913048,11.8978068,17.38163695,14.61076802,17.28136917,23.49210821,7.96,11.51092824,19.3068701,19.3068701,15.69133712,15.31221308,7.96,14.26320974,17.4602692,11.03907602,6.327921444,17.38163695,12.36178373,16.84,16.84,13.80791793
14:30,22.78927106,10.96940417,15.27409284,18.54152988,13.35312191,23.8810686,16.84440546,29.08968329,8.849545086,14.23919966,14.21327909,9.80179881,12.02037431,17.39420433,14.65207308,17.33778662,23.47569531,7.96,11.57513424,19.39019332,19.39019332,15.80836292,15.27409284,7.96,14.23919966,17.52772154,11.10520604,6.348085804,17.39420433,12.46234337,17.21,17.21,13.92168011
