0,1,2,3,4,5,6,7,8,9,10,11,12
76.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.018,-0.2454,132.0,1.0,1.1,0.9
77.0,2.0,0.0,0.0,0.01,-0.01,1.0,0.9779,0.3533,66.0,1.0,1.1,0.9
78.0,1.0,8.69,1.38,0.0,0.0,1.0,1.008,-3.703,11.0,1.0,1.1,0.9
79.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.022,-0.3343,132.0,1.0,1.1,0.9
80.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.008,-3.703,11.0,1.0,1.1,0.9
81.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.022,-0.3343,132.0,1.0,1.1,0.9
82.0,2.0,0.0,0.0,0.01,-0.01,1.0,1.008,-3.703,11.0,1.0,1.1,0.9
83.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9981,-3.98e-05,275.0,1.0,1.1,0.9
84.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4218,132.0,1.0,1.1,0.9
85.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9981,-3.98e-05,275.0,1.0,1.1,0.9
86.0,2.0,0.0,0.0,0.0,0.0,1.0,1.022,-0.4217,132.0,1.0,1.1,0.9
87.0,2.0,0.0,0.0,0.0,0.0,1.0,1.003,-0.9937,66.0,1.0,1.1,0.9
88.0,2.0,0.0,0.0,0.0,0.0,1.0,1.004,-0.9624,66.0,1.0,1.1,0.9
89.0,1.0,0.73009816,0.17,0.0,0.0,1.0,0.985,1.307,11.5,1.0,1.1,0.9
90.0,1.0,0.0,0.0,0.0,0.0,1.0,1.004,-0.9702,66.0,1.0,1.1,0.9
91.0,2.0,0.0,0.0,0.0,0.0,1.0,1.006,-0.9111,66.0,1.0,1.1,0.9
92.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9867,-0.7961,66.0,1.0,1.1,0.9
93.0,1.0,5.728363,3.9,0.0,0.0,1.0,0.96,-1.496,22.0,1.0,1.1,0.9
94.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9841,-0.8405,66.0,1.0,1.1,0.9
95.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9643,-7.042,11.5,1.0,1.1,0.9
96.0,2.0,0.0,0.0,0.0,0.0,1.0,0.9823,-1.149,66.0,1.0,1.1,0.9
