0,1,2,3,4,5,6,7,8,9,10,11,12
4.0,135.0,0.00078,0.00163,0.0,103.0,99.0,0.0,0.0,0.0,1.0,-360.0,360.0
2.0,137.0,0.00092,0.00171,0.0,103.0,99.0,0.0,0.0,0.0,1.0,-360.0,360.0
138.0,63.0,0.000258,0.001239,0.000317,274.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
139.0,56.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
78.0,140.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
142.0,46.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
143.0,46.0,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
46.0,144.0,0.02457,0.06097,0.0,45.4,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
46.0,145.0,0.02464,0.06115,0.0,45.4,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
10.0,147.0,0.00596409,0.00991735,0.000119865,999.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
129.0,148.0,0.59,0.34,0.0035,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
129.0,150.0,0.59,0.34,0.0035,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
111.0,152.0,0.052,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
112.0,154.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
112.0,156.0,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
10.0,158.0,0.39,0.21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
93.0,160.0,1.56,1.34,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
93.0,162.0,1.32,1.76,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
164.0,37.0,0.25,0.18,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
89.0,166.0,0.55,0.27,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
89.0,168.0,0.1,0.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
42.0,170.0,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
42.0,172.0,0.21,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
5.0,26.0,0.02388,0.02516,0.0,18.3,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
111.0,112.0,0.082,0.0455,0.0,100.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
1024.0,89.0,0.1262,0.1262,0.0809,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
70.0,108.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
70.0,1367.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
2057.0,112.0,0.0101271,0.00556751,9.6782e-05,13.53,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
28.0,2758.0,0.0012,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
2758.0,4.0,0.00013,0.0077,0.00519526,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
2758.0,2759.0,0.00044,0.00088,0.010835,100.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
55.0,3652.0,0.003675,0.01195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
56.0,3652.0,-0.059655,0.09642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-360.0,360.0
7.0,8.0,0.00804,0.24,0.0,120.0,0.0,0.0,1.00001,0.0,1.0,-360.0,360.0
6.0,9.0,0.00793,0.2398,0.0,120.0,0.0,0.0,1.00001,0.0,1.0,-360.0,360.0
11.0,10.0,0.0425,1.045,0.0,999.0,0.0,0.0,1.0175,0.0,1.0,-360.0,360.0
12.0,10.0,0.042,1.0475,0.0,999.0,0.0,0.0,1.0175,0.0,1.0,-360.0,360.0
14.0,13.0,0.03726,0.833,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
15.0,13.0,0.03723,0.837,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
17.0,16.0,0.04076,0.845,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
18.0,16.0,0.04072,0.829,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
20.0,19.0,0.0295,0.643,0.0,999.0,0.0,0.0,1.02,0.0,1.0,-360.0,360.0
21.0,19.0,0.0295,0.643,0.0,999.0,0.0,0.0,1.02,0.0,1.0,-360.0,360.0
25.0,24.0,0.03849,0.701,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
26.0,24.0,0.04178,0.692,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
28.0,29.0,0.0024,0.08067,0.0,999.0,0.0,0.0,1.0143,0.0,1.0,-360.0,360.0
30.0,31.0,0.0024,0.08047,0.0,999.0,0.0,0.0,1.0143,0.0,1.0,-360.0,360.0
32.0,33.0,0.0306,1.0002,0.0,999.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
34.0,33.0,0.03162,1.0026,0.0,999.0,0.0,0.0,1.0,0.0,1.0,-360.0,360.0
35.0,37.0,0.0227,0.959,0.0,40.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
36.0,37.0,0.0227,0.959,0.0,40.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
27.0,44.0,0.03813,0.925,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
27.0,44.0,0.03822,0.93,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
27.0,45.0,0.036,0.43,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
27.0,45.0,0.036,0.43,0.0,999.0,0.0,0.0,1.09,0.0,1.0,-360.0,360.0
47.0,48.0,0.0059,0.2533,0.0,90.0,0.0,0.0,0.9857,0.0,1.0,-360.0,360.0
49.0,50.0,0.0059,0.2522,0.0,90.0,0.0,0.0,0.9857,0.0,1.0,-360.0,360.0
51.0,52.0,0.04096,0.83267,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
53.0,52.0,0.04059,0.8267,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
46.0,54.0,0.045,0.82,0.0,999.0,0.0,0.0,1.0275,0.0,1.0,-360.0,360.0
46.0,54.0,0.045,0.82,0.0,999.0,0.0,0.0,1.0275,0.0,1.0,-360.0,360.0
57.0,58.0,0.0033924,0.119012,0.0,120.0,0.0,0.0,0.9666,0.0,1.0,-360.0,360.0
59.0,60.0,0.0033278,0.116619,0.0,120.0,0.0,0.0,0.9666,0.0,1.0,-360.0,360.0
61.0,62.0,0.0033278,0.116619,0.0,120.0,0.0,0.0,0.9666,0.0,1.0,-360.0,360.0
83.0,84.0,0.0033278,0.116619,0.0,120.0,0.0,0.0,0.9666,0.0,1.0,-360.0,360.0
85.0,86.0,0.0033278,0.116619,0.0,120.0,0.0,0.0,0.9666,0.0,1.0,-360.0,360.0
88.0,89.0,0.04523,0.8433,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
91.0,89.0,0.04656,0.85267,0.0,999.0,0.0,0.0,1.06,0.0,1.0,-360.0,360.0
92.0,93.0,0.03616,0.633,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
94.0,93.0,0.0364,0.633,0.0,999.0,0.0,0.0,1.03,0.0,1.0,-360.0,360.0
45.0,119.0,0.0994,0.9961,0.0,999.0,0.0,0.0,0.895,0.0,1.0,-360.0,360.0
106.0,105.0,0.0385,0.796,0.0,999.0,0.0,0.0,1.015,0.0,1.0,-360.0,360.0
